customer_key,customer_name,industry,vertical,address,city,state,zip
1,Trinity College Dublin,Education,Public Sector,2 College Green,Dublin,Dublin,D02 PD37
2,AIB Bank Ireland,Financial Services,Enterprise,10 Molesworth St,Dublin,Dublin,D02 X285
3,Ryanair Holdings,Transport & Logistics,Enterprise,Corporate HQ,Swords,Dublin,K67 NY94
4,Musgrave Group,Retail,Enterprise,Musgrave Park,Cork,Cork,T12 A62V
5,Supermacs Ireland,Hospitality,SMB,Ballybrit Business Park,Galway,Galway,H91 C3PN
6,PM Group,Construction,Enterprise,Killakee House,Cork,Cork,T23 KBN3
7,An Post,Public Services,Public Sector,GPO O'Connell St,Dublin,Dublin,D01 F5P2
8,Brown Thomas Arnotts,Retail,Enterprise,92 Grafton St,Dublin,Dublin,D02 V093
9,Irish Life Group,Insurance,Enterprise,Lower Abbey St,Dublin,Dublin,D01 P767
10,Eir Telecom,Telecom,Enterprise,2022 Bianconi Ave,Dublin,Dublin,D18 PN47
11,Vodafone Ireland,Telecom,Enterprise,MountainView,Dublin,Dublin,D18 XN97
12,Irish Rail,I&E,Public Sector,Connolly Station,Dublin,Dublin,D01 V6V6
13,Dublin City Council,Local Government,Public Sector,Wood Quay,Dublin,Dublin,D08 RF3F
14,Cork City Council,Local Government,Public Sector,City Hall,Cork,Cork,T12 T997
15,Health Service Executive,Healthcare,Public Sector,Dr Steevens Hospital,Dublin,Dublin,D08 W2A8
16,Bon Secours Health System,Healthcare,Enterprise,College Rd,Cork,Cork,T12 DV56
17,University Hospital Galway,Healthcare,Public Sector,Newcastle Rd,Galway,Galway,H91 YR71
18,AbbVie Ireland,Pharmaceutical,Enterprise,Knockbeg Point,Sligo,Sligo,F91 H97N
19,Medtronic Parkmore,Medical Devices,Enterprise,Parkmore East,Galway,Galway,H91 N5D3
20,Stripe Ireland,Technology,Enterprise,Grand Canal Dock,Dublin,Dublin,D02 R296
21,HubSpot EMEA,Technology,Enterprise,1 Sir John Rogerson's Quay,Dublin,Dublin,D02 CR27
22,IDA Ireland,Public Services,Public Sector,Wilton Park House,Dublin,Dublin,D02 T228
23,Enterprise Ireland,Public Services,Public Sector,East Point Business Park,Dublin,Dublin,D03 E5R6
24,Heineken Ireland,Beverages,Enterprise,Leitrim Street,Cork,Cork,T23 F9DX
25,Guinness Storehouse,Hospitality,Enterprise,St James's Gate,Dublin,Dublin,D08 VF8H
26,Smurfit Kappa Ireland,Manufacturing,Enterprise,Clonskeagh,Dublin,Dublin,D14
27,CityJet,Transport & Logistics,Enterprise,Swords Business Campus,Dublin,Dublin,K67
28,Connacht Rugby,Sports,SMB,College Rd,Galway,Galway,H91
