survey_id,call_id,customer_id,survey_date,rating,resolution,escalated,comment
SURVEY_IE_001,CALL_001,CUST_IE_001,2025-01-06,5,5,FALSE,Great speeds and WiFi pods fixed my issue.
SURVEY_IE_002,CALL_002,CUST_IE_002,2025-01-07,4,4,FALSE,TV 360 working well, minor billing delay.
SURVEY_IE_003,CALL_003,CUST_IE_003,2025-01-08,3,3,TRUE,Agent helped but install date slipped.
SURVEY_IE_004,CALL_004,CUST_IE_004,2025-01-09,2,2,TRUE,Still waiting on sports add-on activation.
SURVEY_IE_005,CALL_005,CUST_IE_005,2025-01-10,5,5,FALSE,Engineer was on time and tidy.
SURVEY_IE_006,CALL_006,CUST_IE_006,2025-01-11,4,4,FALSE,Price ok after retention offer.
SURVEY_IE_007,CALL_007,CUST_IE_007,2025-01-12,3,3,FALSE,Speed fine but router rebooted once.
SURVEY_IE_008,CALL_008,CUST_IE_008,2025-01-13,1,1,TRUE,Too slow to resolve outage in Cork.
SURVEY_IE_009,CALL_009,CUST_IE_009,2025-01-14,4,4,FALSE,Install rescheduled but completed.
SURVEY_IE_010,CALL_010,CUST_IE_010,2025-01-15,2,2,TRUE,Confused about bundle pricing; needs follow-up.
