vendor_key,vendor_name,vertical,address,city,state,zip
1,Vodafone Ireland,Connectivity Partner,MountainView,Dublin,Dublin,D18 XN97
2,Eir Business,Connectivity Partner,2022 Bianconi Ave,Dublin,Dublin,D18 PN47
3,SIRO,Connectivity Partner,Crow Castle,Ballincollig,Cork,P31 YT91
4,Liberty Global,Platform Partner,Macken House,Dublin,D01 C9W8
5,Amazon Web Services Ireland,Cloud Provider,One Burlington Plaza,Dublin,Dublin,D04 R3E9
6,Microsoft Azure Ireland,Cloud Provider,One Microsoft Place,Leopardstown,Dublin,D18 P521
7,Google Cloud Ireland,Cloud Provider,Gordon House,Barrow Street,Dublin,D04 E5W5
8,Cisco Ireland,Network Equipment,Orchard House,Clonskeagh,Dublin,D14 T8P1
9,Juniper Networks Ireland,Network Equipment,Block 1 Blanchardstown Corp Park,Dublin,D15
10,Fortinet Ireland,Security Partner,Block 3 Blanchardstown Corp Park,Dublin,D15
11,Palo Alto Networks Ireland,Security Partner,70 Sir John Rogerson's Quay,Dublin,D02 R296
12,CrowdStrike Ireland,Security Partner,Alexandra House,The Sweepstakes,Dublin,D04 C7H2
13,Arista Networks,Network Equipment,70 Sir John Rogerson's Quay,Dublin,D02 R296
14,Dell Technologies Cork,Hardware Partner,Ovens,Cork,T12 R2PV
15,HP Ireland,Hardware Partner,Block A Ballycoolin,Dublin,D15
16,Lenovo Ireland,Hardware Partner,1 Cumberland Place,Dublin,D02 NP94
17,HPE Ireland,Hardware Partner,Leopardstown,Dublin,D18
18,Equinix Dublin,Data Centre Partner,North West Business Park,Dublin,D15
19,Digital Realty Dublin,Data Centre Partner,Clonshaugh Industrial Estate,Dublin,D17
20,Viatel,Connectivity Partner,East Point Business Park,Dublin,D03
21,Enet,Backhaul Partner,Ballysimon,Limerick,V94 9HE
22,Virgin Media Ireland Wholesale,Connectivity Partner,Macken House,Dublin,D01
23,Vodafone Carrier Services,Backhaul Partner,MountainView,Dublin,D18 XN97
24,Three Ireland,Mobile Partner,28/29 Sir John Rogerson's Quay,Dublin,D02 EY47
25,Ericsson Ireland,Mobile Vendor,Beckett Way,Park West,Dublin,D12 HX24
26,Nokia Ireland,Mobile Vendor,Block W EastPoint Business Park,Dublin,D03
27,Huawei Ireland,Mobile Vendor,Block 1, Blanchardstown Corp Park,Dublin,D15
28,Genesys Ireland,CX Platform,Penrose Dock,Cork,T23 XW90
29,Five9 Ireland,CX Platform,Penrose Dock,Cork,T23 XW90
30,Talkdesk Ireland,CX Platform,North Dock,Dublin,D01
31,Salesforce Ireland,CRM Partner,Leopardstown,Dublin,D18
32,HubSpot Ireland,CRM Partner,One Dockland Central,Dublin,D01 E4X0
33,Zendesk Ireland,CX Platform,Grand Canal Dock,Dublin,D02
34,ServiceNow Ireland,ITSM Partner,Blanchardstown,Dublin,D15
35,Twilio Ireland,CPaaS Partner,Holles Street,Dublin,D02
36,Bandwidth Ireland,Voice Provider,North Dock,Dublin,D01
37,Pexip Ireland,Video Partner,Clanwilliam Place,Dublin,D02
38,Zoom Ireland,Video Partner,Charlemont Exchange,Dublin,D02
39,Avaya Ireland,Contact Centre,Blanchardstown,Dublin,D15
40,NICE Ireland,Contact Centre,Watermarque Building,Dublin,D04
41,RingCentral Ireland,UCaaS Partner,75 St Stephen's Green,Dublin,D02
42,8x8 Ireland,UCaaS Competitor,Regus Pembroke House,Dublin,D02
43,Vonage Ireland,UCaaS Competitor,North Dock,Dublin,D01
44,Dialpad Ireland,UCaaS Competitor,WeWork Charlemont Exchange,Dublin,D02
45,GoTo Ireland,UCaaS Competitor,Grand Canal Dock,Dublin,D02
46,Mitel Ireland,UCaaS Partner,Blanchardstown,Dublin,D15
47,Blueface (Comcast),Voice Partner,Portview House,Dublin,D04 V9T3
48,Harmonic Ireland,Video/TV Partner,IDA Business Park,Cork,T12
49,Synamedia Ireland,Video/TV Partner,EastPoint,Dublin,D03
50,Sky Ireland Wholesale,Wholesale Partner,1 Burlington Plaza,Dublin,D04 R3E9
