customer_id,plan_type,county,activation_date,plan_name,monthly_fee,tenure_months,is_active,last_interaction,reason_for_churn
CUST_IE_001,Broadband,Dublin,2022-11-15,Virgin Media Gigabit Broadband,85,24,True,2024-11-01,Active
CUST_IE_002,Broadband + TV,Dublin,2023-03-10,Virgin Media Gigabit + TV 360,95,20,True,2024-11-02,Active
CUST_IE_003,Broadband + Mobile,Cork,2023-06-05,Virgin Media Fibre 500 + Unlimited 5G SIM,80,17,True,2024-10-28,Active
CUST_IE_004,Broadband + TV + Mobile,Galway,2022-09-22,Virgin Media Gigabit + TV 360 + SIM,110,26,True,2024-11-03,Active
CUST_IE_005,Broadband,Limerick,2024-01-12,Virgin Media Fibre 250,55,10,True,2024-10-30,Active
CUST_IE_006,Broadband + TV,Waterford,2023-02-14,Virgin Media Fibre 500 + TV 360,88,21,False,2024-09-18,Switched to eir for bundle pricing
CUST_IE_007,Broadband,Dublin,2022-12-01,Virgin Media Fibre 500,70,23,False,2024-08-25,Switched to Sky for sports bundle
CUST_IE_008,Broadband + TV + Mobile,Cork,2023-04-08,Virgin Media Gigabit + TV 360 + SIM,109,19,False,2024-09-30,Switched to Vodafone/Three mobile-family bundle
CUST_IE_009,Broadband + TV,Galway,2022-10-19,Virgin Media Fibre 500 + TV 360,85,25,False,2024-07-15,Moved to SIRO-based offer (local ISP)
CUST_IE_010,Broadband + Mobile,Limerick,2023-07-21,Virgin Media Fibre 250 + Unlimited 5G SIM,75,16,False,2024-10-05,Price-sensitive churn to Digiweb
CUST_IE_011,Broadband + TV,Waterford,2023-05-30,Virgin Media Gigabit + TV 360,99,18,True,2024-11-04,Active
CUST_IE_012,Broadband,Dublin,2024-02-18,Virgin Media Fibre 250,55,9,True,2024-10-29,Active
CUST_IE_013,Broadband + Mobile,Cork,2023-11-07,Virgin Media Fibre 500 + Unlimited 5G SIM,79,12,True,2024-11-01,Active
CUST_IE_014,Broadband + TV,Galway,2022-08-25,Virgin Media Fibre 500 + TV 360,83,27,False,2024-06-28,Switched to eir (contract renewal)
CUST_IE_015,Broadband + TV + Mobile,Dublin,2023-01-14,Virgin Media Gigabit + TV 360 + SIM,112,22,True,2024-11-02,Active
